NUMERO_REGISTRO;PRODUTO_TECNICO_MARCA_COMERCIAL;INGREDIENTE_ATIVO(GRUPO_QUIMICI)(CONCENTRACAO);CLASSE;TITULAR_REGISTRO;EMPRESA_<PAIS>_TIPO;CLASSIFICACAO_TOXICOLOGICA;CLASSIFICACAO_AMBIENTAL
26319;Glufosinato Tecnico Albaugh;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida/Regulador de Crescimento;Albaugh Agro Brasil Ltda.- São Paulo; (Shijiazhuang Richem Co., Ltd - Zhaoxian<CHINA, REPUBLICA POPULAR>FABRICANTE);III;III
37419;Glufosinato Tecnico OF;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Ouro Fino Química S.A. - Uberaba; (Lier Chemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Inner Mongolia Miraculous Crop Science Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
TC00521;Glufosinato Técnico Alamos;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida;Crotect Crop Science Ltda - São Paulo/SP; (Ningxia Wynca Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
TC21125;Glufosinato Técnico Alta;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba; (Jiangsu Sevencontinent Green Chemical Co., Ltd - Unit I<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
36319;Glufosinato Técnico Alta II;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida;ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba;;PT;III
TC09222;Glufosinato Técnico Alta III;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida/Regulador de Crescimento;ALTA - America Latina Tecnologia Agrícola Ltda.- Curitiba; (Shijiazhuang Richem Co., LTD<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Ningxia Wynca Technology Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
TC05020;Glufosinato Técnico CHD'S;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR   ; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Hebei Veyong Bio-Chemical Co., Ltd. (Unidade II)<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Yongnong Biosciences Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
TC05626;Glufosinato Técnico CHDS ll;Glufosinato - sal de amônio (homoalanina substituída) (970 g/kg);Herbicida/Regulador de Crescimento;CHDS do Brasil Comércio de Insumos Agrícolas Ltda - São Miguel do Iguaçu/PR   ; (Inner Mongolia Miraculous Crop Science Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
TC04720;Glufosinato Técnico Dinagro;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida/Regulador de Crescimento;Dinagro Agropecuária Ltda.; (Jiangsu Good Harvest - Weien Agrochemical Co. Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE) +  (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
TC04220;Glufosinato Técnico FW;Glufosinato - sal de amônio (homoalanina substituída) (950 g/kg);Herbicida;Agroallianz S.A; (Hebei Veyong Bio-Chemical CO., Ltd<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
TC00724;Glufosinato Técnico Hailir;Glufosinato - sal de amônio (homoalanina substituída) (975 g/kg);Herbicida/Regulador de Crescimento;Hailir Brasil Defensivos Agricolas Ltda - São Paulo/SP; (Shandong Hailir Chemical Co., Ltd.<CHINA, REPUBLICA POPULAR>FABRICANTE);PT;III
